dataset,video_id,question_id,type,subtype,question,templ_values,answer,multiple choice,Number of answer alternatives
train,151,5922,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",no,yes/no,2
train,163,6382,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""voice"", ""bass""]",no,yes/no,2
train,270,10315,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,245,9266,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,223,8433,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,197,7651,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""computer"", ""bass""]",no,yes/no,2
train,262,10053,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""clarinet""]",no,yes/no,2
train,158,6190,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",no,yes/no,2
train,159,6219,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""trombone""]",no,yes/no,2
train,259,9913,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""guitar""]",no,yes/no,2
train,231,8745,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""harp""]",no,yes/no,2
train,254,9676,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,275,10496,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,213,8212,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""voice"", ""tsabouna""]",no,yes/no,2
train,229,8657,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""harp""]",no,yes/no,2
train,249,9440,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,250,9488,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""drums"", ""voice""]",no,yes/no,2
train,200,7754,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""computer"", ""bass""]",no,yes/no,2
train,154,6038,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",no,yes/no,2
train,209,8063,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""voice"", ""bass""]",no,yes/no,2
train,290,11086,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""voice""]",no,yes/no,2
train,187,7237,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,248,9397,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,235,8877,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""organ"", ""piano""]",no,yes/no,2
train,234,8841,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""synthesizer"", ""piano""]",no,yes/no,2
train,287,10961,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,178,6885,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""voice""]",no,yes/no,2
train,240,9058,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,246,9307,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,193,7490,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""chimes"", ""bass""]",no,yes/no,2
train,276,10531,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,201,7788,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""bass""]",no,yes/no,2
train,162,6351,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""bass""]",no,yes/no,2
train,189,7312,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""double bass""]",no,yes/no,2
train,288,10997,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,279,10637,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""harp""]",no,yes/no,2
train,188,7273,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""cello"", ""double bass""]",no,yes/no,2
train,225,8513,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,284,10830,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""double bass"", ""piano""]",no,yes/no,2
train,196,7613,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",no,yes/no,2
train,244,9218,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,236,8909,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""organ"", ""piano""]",no,yes/no,2
train,180,6969,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""qanun""]",no,yes/no,2
train,195,7578,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",no,yes/no,2
train,224,8477,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,272,10391,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""harp""]",no,yes/no,2
train,227,8549,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""sitar"", ""tabla""]",no,yes/no,2
train,203,7854,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""flute"", ""voice""]",no,yes/no,2
train,156,6114,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""bass""]",no,yes/no,2
train,214,8239,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""voice"", ""tsabouna""]",no,yes/no,2
train,206,7960,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",no,yes/no,2
train,239,9025,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",no,yes/no,2
train,233,8812,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""harp""]",no,yes/no,2
train,280,10676,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""harp""]",no,yes/no,2
train,94,3605,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""accordion"", ""guitar""]",yes,yes/no,2
train,194,7529,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""drum""]",yes,yes/no,2
train,291,11122,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",yes,yes/no,2
train,84,3168,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",yes,yes/no,2
train,175,6762,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""laouto"", ""drum""]",yes,yes/no,2
train,22,847,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""dundun"", ""djembe""]",yes,yes/no,2
train,122,4825,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""piano""]",yes,yes/no,2
train,9,380,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""bass""]",yes,yes/no,2
train,26,1034,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""qanun"", ""outi""]",yes,yes/no,2
train,16,617,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""dundun"", ""djembe""]",yes,yes/no,2
train,305,11660,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",yes,yes/no,2
train,106,4165,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""outi"", ""qanun""]",yes,yes/no,2
train,104,4065,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""laouto""]",yes,yes/no,2
train,97,3732,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""bassoon"", ""violin""]",yes,yes/no,2
train,296,11333,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""voice""]",yes,yes/no,2
train,119,4696,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""piano""]",yes,yes/no,2
train,120,4740,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""cello"", ""bass""]",yes,yes/no,2
train,47,1747,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""dundun"", ""djembe""]",yes,yes/no,2
train,92,3514,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""outi"", ""qanun""]",yes,yes/no,2
train,85,3212,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""drums"", ""double bass""]",yes,yes/no,2
train,6,241,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""drums"", ""voice""]",yes,yes/no,2
train,25,986,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""djembe"", ""dundun""]",yes,yes/no,2
train,110,4330,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""voice""]",yes,yes/no,2
train,257,9809,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""drums""]",yes,yes/no,2
train,161,6309,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""double bass""]",yes,yes/no,2
train,118,4658,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""drums""]",yes,yes/no,2
train,113,4428,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""outi"", ""drum""]",yes,yes/no,2
train,54,2024,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""djembe"", ""dundun""]",yes,yes/no,2
train,75,2807,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saron"", ""kendang""]",yes,yes/no,2
train,171,6577,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""dundun"", ""djembe""]",yes,yes/no,2
train,230,8700,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""trombone"", ""drums""]",yes,yes/no,2
train,237,8944,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""double bass"", ""accordion""]",yes,yes/no,2
train,103,4019,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""dundun"", ""djembe""]",yes,yes/no,2
train,48,1790,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""dundun"", ""djembe""]",yes,yes/no,2
train,10,426,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""voice""]",yes,yes/no,2
train,64,2408,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""drums""]",yes,yes/no,2
train,105,4118,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""laouto""]",yes,yes/no,2
train,293,11217,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""guitar"", ""voice""]",yes,yes/no,2
train,63,2367,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""tuba"", ""trombone""]",yes,yes/no,2
train,90,3427,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""computer"", ""piano""]",yes,yes/no,2
train,86,3254,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""outi"", ""clarinet""]",yes,yes/no,2
train,114,4473,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""guitar""]",yes,yes/no,2
train,87,3294,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""accordion"", ""outi""]",yes,yes/no,2
train,121,4786,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""tambourine"", ""bass""]",yes,yes/no,2
train,285,10867,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""djembe""]",yes,yes/no,2
train,99,3825,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""double bass""]",yes,yes/no,2
train,74,2765,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saron"", ""kendang""]",yes,yes/no,2
train,96,3685,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""cello"", ""violin""]",yes,yes/no,2
train,289,11039,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""piano"", ""voice""]",yes,yes/no,2
train,123,4850,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""djembe"", ""dundun""]",yes,yes/no,2
train,100,3879,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""guitar""]",yes,yes/no,2
train,101,3926,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""violin"", ""qanun""]",yes,yes/no,2
train,98,3780,Visual,Counting,Are there <Object> and <Object> instruments in the video?,"[""saxophone"", ""guitar""]",yes,yes/no,2
train,35,1376,Audio,Counting,Are there <Object> and <Object> sound?,"[""fiddle"", ""ukulele""]",no,yes/no,2
train,244,9215,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""piano""]",no,yes/no,2
train,145,5671,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,182,7043,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,210,8097,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""drums""]",no,yes/no,2
train,284,10827,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""double bass""]",no,yes/no,2
train,23,891,Audio,Counting,Are there <Object> and <Object> sound?,"[""dundun"", ""djembe""]",no,yes/no,2
train,41,1550,Audio,Counting,Are there <Object> and <Object> sound?,"[""tsabouna"", ""banjo""]",no,yes/no,2
train,225,8510,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,32,1258,Audio,Counting,Are there <Object> and <Object> sound?,"[""saxophone"", ""voice""]",no,yes/no,2
train,202,7818,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""voice""]",no,yes/no,2
train,281,10707,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""synthesizer""]",no,yes/no,2
train,37,1431,Audio,Counting,Are there <Object> and <Object> sound?,"[""qanun"", ""voice""]",no,yes/no,2
train,276,10528,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,287,10958,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""piano""]",no,yes/no,2
train,236,8906,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""organ""]",no,yes/no,2
train,268,10243,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,302,11555,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""piano""]",no,yes/no,2
train,272,10388,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,270,10312,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,283,10789,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""organ""]",no,yes/no,2
train,273,10425,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,21,810,Audio,Counting,Are there <Object> and <Object> sound?,"[""computer"", ""voice""]",no,yes/no,2
train,193,7487,Audio,Counting,Are there <Object> and <Object> sound?,"[""chimes"", ""drum""]",no,yes/no,2
train,165,6444,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""drums""]",no,yes/no,2
train,82,3083,Audio,Counting,Are there <Object> and <Object> sound?,"[""flute"", ""piano""]",no,yes/no,2
train,150,5885,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,308,11780,Audio,Counting,Are there <Object> and <Object> sound?,"[""clarinet"", ""organ""]",no,yes/no,2
train,55,2067,Audio,Counting,Are there <Object> and <Object> sound?,"[""djembe"", ""dundun""]",no,yes/no,2
train,303,11586,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""piano""]",no,yes/no,2
train,206,7957,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""voice""]",no,yes/no,2
train,235,8874,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""organ""]",no,yes/no,2
train,80,3000,Audio,Counting,Are there <Object> and <Object> sound?,"[""flute"", ""banjo""]",no,yes/no,2
train,81,3043,Audio,Counting,Are there <Object> and <Object> sound?,"[""flute"", ""banjo""]",no,yes/no,2
train,40,1525,Audio,Counting,Are there <Object> and <Object> sound?,"[""tsabouna"", ""banjo""]",no,yes/no,2
train,306,11706,Audio,Counting,Are there <Object> and <Object> sound?,"[""clarinet"", ""piano""]",no,yes/no,2
train,76,2846,Audio,Counting,Are there <Object> and <Object> sound?,"[""qanun"", ""ukulele""]",no,yes/no,2
train,123,4847,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,188,7270,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""flute""]",no,yes/no,2
train,27,1082,Audio,Counting,Are there <Object> and <Object> sound?,"[""harp"", ""drums""]",no,yes/no,2
train,241,9096,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""piano""]",no,yes/no,2
train,148,5798,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,79,2955,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""voice""]",no,yes/no,2
train,125,4930,Audio,Counting,Are there <Object> and <Object> sound?,"[""piano"", ""drums""]",no,yes/no,2
train,232,8777,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""saxophone""]",no,yes/no,2
train,66,2476,Audio,Counting,Are there <Object> and <Object> sound?,"[""piano"", ""guitar""]",no,yes/no,2
train,195,7575,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drum""]",no,yes/no,2
train,237,8941,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""double bass""]",no,yes/no,2
train,28,1110,Audio,Counting,Are there <Object> and <Object> sound?,"[""harp"", ""voice""]",no,yes/no,2
train,70,2613,Audio,Counting,Are there <Object> and <Object> sound?,"[""koto"", ""guitar""]",no,yes/no,2
train,294,11262,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""piano""]",no,yes/no,2
train,45,1672,Audio,Counting,Are there <Object> and <Object> sound?,"[""piano"", ""guitar""]",no,yes/no,2
train,152,5955,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,214,8236,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""castanets""]",no,yes/no,2
train,277,10563,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""saxophone""]",no,yes/no,2
train,207,7989,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""trumpet""]",no,yes/no,2
train,27,1102,Audio,Counting,Are there <Object> and <Object> sound?,"[""qanun"", ""harp""]",no,yes/no,2
train,114,4470,Audio,Counting,Are there <Object> and <Object> sound?,"[""piano"", ""guitar""]",no,yes/no,2
train,194,7526,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drum""]",no,yes/no,2
train,17,665,Audio,Counting,Are there <Object> and <Object> sound?,"[""djembe"", ""voice""]",no,yes/no,2
train,7,288,Audio,Counting,Are there <Object> and <Object> sound?,"[""bass"", ""drums""]",no,yes/no,2
train,301,11522,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""piano""]",no,yes/no,2
train,131,5165,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,28,1133,Audio,Counting,Are there <Object> and <Object> sound?,"[""qanun"", ""harp""]",no,yes/no,2
train,52,1957,Audio,Counting,Are there <Object> and <Object> sound?,"[""bass"", ""harp""]",no,yes/no,2
train,280,10673,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""saxophone""]",no,yes/no,2
train,42,1575,Audio,Counting,Are there <Object> and <Object> sound?,"[""Cretan lyra"", ""banjo""]",no,yes/no,2
train,300,11489,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""piano""]",no,yes/no,2
train,172,6618,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""drum""]",no,yes/no,2
train,298,11404,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""synthesizer""]",no,yes/no,2
train,304,11622,Audio,Counting,Are there <Object> and <Object> sound?,"[""drums"", ""piano""]",no,yes/no,2
train,109,4294,Audio,Counting,Are there <Object> and <Object> sound?,"[""djembe"", ""guitar""]",no,yes/no,2
train,257,9806,Audio,Counting,Are there <Object> and <Object> sound?,"[""drums"", ""piano""]",no,yes/no,2
train,30,1193,Audio,Counting,Are there <Object> and <Object> sound?,"[""saxophone"", ""outi""]",no,yes/no,2
train,71,2649,Audio,Counting,Are there <Object> and <Object> sound?,"[""koto"", ""guitar""]",no,yes/no,2
train,38,1458,Audio,Counting,Are there <Object> and <Object> sound?,"[""outi"", ""voice""]",no,yes/no,2
train,8,342,Audio,Counting,Are there <Object> and <Object> sound?,"[""bass"", ""drums""]",no,yes/no,2
train,60,2254,Audio,Counting,Are there <Object> and <Object> sound?,"[""cello"", ""drums""]",no,yes/no,2
train,307,11739,Audio,Counting,Are there <Object> and <Object> sound?,"[""clarinet"", ""piano""]",no,yes/no,2
train,149,5842,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,305,11657,Audio,Counting,Are there <Object> and <Object> sound?,"[""clarinet"", ""violin""]",no,yes/no,2
train,290,11083,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,68,2539,Audio,Counting,Are there <Object> and <Object> sound?,"[""dundun"", ""double bass""]",no,yes/no,2
train,262,10050,Audio,Counting,Are there <Object> and <Object> sound?,"[""clarinet"", ""piano""]",no,yes/no,2
train,83,3124,Audio,Counting,Are there <Object> and <Object> sound?,"[""flute"", ""piano""]",no,yes/no,2
train,296,11330,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""guitar""]",no,yes/no,2
train,143,5586,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,14,555,Audio,Counting,Are there <Object> and <Object> sound?,"[""piano"", ""drums""]",no,yes/no,2
train,64,2405,Audio,Counting,Are there <Object> and <Object> sound?,"[""piano"", ""voice""]",no,yes/no,2
train,181,7004,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""bass""]",no,yes/no,2
train,275,10493,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,36,1402,Audio,Counting,Are there <Object> and <Object> sound?,"[""qanun"", ""ukulele""]",no,yes/no,2
train,134,5274,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""drums""]",no,yes/no,2
train,174,6720,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""voice""]",no,yes/no,2
train,18,708,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""voice""]",no,yes/no,2
train,274,10456,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""drum""]",no,yes/no,2
train,269,10273,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""violin""]",no,yes/no,2
train,147,5761,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,128,5045,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,11,461,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""voice""]",no,yes/no,2
train,213,8209,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""castanets""]",no,yes/no,2
train,309,11814,Audio,Counting,Are there <Object> and <Object> sound?,"[""clarinet"", ""organ""]",no,yes/no,2
train,192,7441,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""drum""]",no,yes/no,2
train,260,9957,Audio,Counting,Are there <Object> and <Object> sound?,"[""clarinet"", ""piano""]",no,yes/no,2
train,211,8135,Audio,Counting,Are there <Object> and <Object> sound?,"[""voice"", ""dundun""]",no,yes/no,2
train,78,2907,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""voice""]",no,yes/no,2
train,73,2723,Audio,Counting,Are there <Object> and <Object> sound?,"[""taiko"", ""voice""]",no,yes/no,2
train,50,1879,Audio,Counting,Are there <Object> and <Object> sound?,"[""bass"", ""computer""]",no,yes/no,2
train,136,5343,Audio,Counting,Are there <Object> and <Object> sound?,"[""guitar"", ""drums""]",no,yes/no,2
train,91,3468,Audio,Counting,Are there <Object> and <Object> sound?,"[""computer"", ""piano""]",yes,yes/no,2
train,178,6882,Audio,Counting,Are there <Object> and <Object> sound?,"[""violin"", ""voice""]",yes,yes/no,2
train,85,3209,Audio,Counting,Are there <Object> and <Object> sound?,"[""drums"", ""voice""]",yes,yes/no,2
train,162,6348,Audio,Counting,Are there <Object> and <Object> sound?,"[""piano"", ""voice""]",yes,yes/no,2
